station_id,RMSE,MAE,Bias,NRMSE
DUM DUM AERO,7.081317,3.4009273,-0.24880876,1.5756652643903342
DUMKA,5.5773926,2.899463,0.5648919,1.583633984765775
DURGACHACK,8.0161705,3.4304695,-0.10936179,1.829616137486606
DURGAPUR,5.735815,3.0596993,0.22767891,1.4857229561460232
ETAMOGRA,7.8217697,3.41069,-0.08684564,1.7982105007832363
FALAKATA,13.102727,6.377319,1.3215781,1.4458563274203877
GADGHAT,6.9624314,3.2646458,0.07508682,1.6950827668249904
GAJOLDOBA,12.88758,6.0226517,1.0994437,1.5741376963867502
GANGAJALGHATI,5.6821394,2.9610493,0.23695028,1.4764272277971138
GANGARAMPUR,7.6949186,3.7781992,0.34489235,1.6742471696220418
GARUBATHAN,12.792237,5.7532473,0.6348339,1.4520402708599771
GAZOLE,6.926343,3.610892,0.5540779,1.6033271286356163
GHARGRAM,6.4869213,3.1792443,0.19657518,1.6554049377399513
GHARGRAM KHEJURI,9.178254,3.659095,-0.67433566,1.8550321451609637
GHATAL,6.9565983,3.2653115,0.07889397,1.693662620663352
GHEROPARA,6.2411857,3.1144226,0.090882316,1.550877368454754
GOALFORE,6.6444645,3.2179248,0.11805343,1.6616361694731323
GOPIBALLABHPUR,6.385661,3.0806065,0.36976615,1.6894694189531057
GOSABA,8.327004,3.588881,-0.4887784,1.7167047665110329
HABIBPUR,6.6213455,3.4918044,0.32237485,1.5022640959620785
HALDIA,8.016171,3.4304695,-0.10936171,1.8296163551538724
HARINGHATA,8.2507925,3.5132928,-0.3453593,1.7950042268880766
HARINKHOLA,6.8017244,3.2432365,0.02789033,1.6349707330188297
HARISHCHANDRAPUR,7.565,3.7567961,0.5848301,1.737814270466216
HASIMARA,12.771637,6.093521,1.5716031,1.3964691825122177
HASIMARA  AERO,13.114997,6.1975965,1.6997569,1.4699764762855734
HATWARA,6.2490144,3.1207807,0.25526768,1.6051178113371358
HELDIBARI,11.702613,6.004032,2.2985198,1.531344460949989
HEMTABAD,8.062161,3.8786192,0.19062139,1.602118799520921
HENRIA,8.078355,3.446732,-0.24984212,1.79297864144651
